rel,path,N_per_p,n_items,method,convergence,coverage,coverage_corrected,mean_se,mean_se_corrected,out_se,out_se_corrected,power,power_corrected,raw_rsb,raw_rsb_corrected,rbias,rbias_corrected,rmse,rmse_corrected,sbias,sbias_corrected,stdMed_rsb,stdMed_rsb_corrected,type1,type1_corrected,warning_total,N,N_lab,path_lab,rel_lab
0.7,0.6,6,5,gsam,1,0.8635,NA,0.18871427542829317,NA,1.4000000000000001,NA,0.675,NA,-0.32209551282511373,NA,-0.16108572361771306,NA,0.3215659345649996,NA,-0.578656461533854,NA,-0.07656328567373683,NA,0.675,NA,3,30,italic(N) == 30,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,6,5,joint,1,0.8095,NA,0.17235540118960974,NA,0.7000000000000001,NA,0.8005,NA,-0.449270281025576,NA,-0.0564496263961412,NA,0.3179315117675175,NA,-0.18037431183927516,NA,-0.26319847986052014,NA,0.8005,NA,276,30,italic(N) == 30,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,6,5,lsam,1,0.8635,NA,0.18871548433406024,NA,1.4000000000000001,NA,0.675,NA,-0.32188589713471905,NA,-0.16112603644758192,NA,0.32151322360002976,NA,-0.5789765372960999,NA,-0.07656374288607537,NA,0.675,NA,0,30,italic(N) == 30,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,6,5,rel,1,0.816,0.8475,0.18863508979665272,0.2017655330389147,4.05,5.35,0.772,0.7555000000000001,-0.4879996887236393,-0.4523605558640964,-0.08896786913371078,-0.08896786913371078,0.37892792441256024,0.37892792441256024,-0.24147986856082146,-0.24147986856082146,-0.2398418860982353,-0.1977876616722769,0.772,0.7555,817,30,italic(N) == 30,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,6,5,tspa,1,0.7875,0.85,0.18506002986559567,0.23990448435329562,4.15,8.35,0.7755,0.745,-0.501376515358289,-0.3536042869100827,-0.08701779988806232,-0.08701779988806232,0.3811160955914059,0.3811160955914059,-0.23445969741576903,-0.23445969741576903,-0.2844531475738252,-0.21062953509451154,0.7755,0.745,871,30,italic(N) == 30,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,6,10,gsam,1,0.887,NA,0.12776644476579416,NA,0.15,NA,0.9555,NA,-0.5431348024266247,NA,-0.10562957257567802,NA,0.29887728989842427,NA,-0.3777085261536381,NA,-0.08619786163949605,NA,0.9555,NA,0,60,italic(N) == 60,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,6,10,joint,1,0.854,NA,0.12193098148369967,NA,0.2,NA,0.9705,NA,-0.5645232965244822,NA,-0.05365986683287437,NA,0.28502100603023073,NA,-0.1916463037775129,NA,-0.1493932425337151,NA,0.9705,NA,19,60,italic(N) == 60,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,6,10,lsam,1,0.887,NA,0.1277664437004481,NA,0.15,NA,0.9555,NA,-0.5431347989366118,NA,-0.1056295624332577,NA,0.29887728213509296,NA,-0.37770849592128675,NA,-0.08619777458505118,NA,0.9555,NA,0,60,italic(N) == 60,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,6,10,rel,1,0.861,0.87,0.12960846353876015,0.13329186959140651,0.44999999999999996,0.4,0.968,0.968,-0.5988718643224349,-0.5874720084604014,-0.07796012089429186,-0.07796012089429186,0.3323034375571041,0.3323034375571041,-0.24128052364553182,-0.24128052364553182,-0.12043668914728711,-0.09556849734706041,0.968,0.968,19,60,italic(N) == 60,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,6,10,tspa,1,0.834,0.864,0.12124085914563061,0.12826971362756587,0.4,0.3,0.9705,0.969,-0.6247677298374952,-0.6030138999612944,-0.07795270125144836,-0.07795270125144836,0.3323006754257549,0.3323006754257549,-0.24125834526416468,-0.24125834526416468,-0.1761684744922264,-0.13122460842340267,0.9705,0.969,19,60,italic(N) == 60,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,6,20,gsam,1,0.8665,NA,0.08234331753065732,NA,0.5499999999999999,NA,1,NA,-0.747890375107757,NA,-0.11531085448268547,NA,0.3462975476247192,NA,-0.35304596828771695,NA,-0.14860441985414852,NA,1,NA,0,120,italic(N) == 120,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,6,20,joint,1,0.8615,NA,0.08036926575840174,NA,0.44999999999999996,NA,1,NA,-0.7480540154348323,NA,-0.08823235393415943,NA,0.3308946401570864,NA,-0.27659562486571876,NA,-0.17630433964612247,NA,1,NA,41,120,italic(N) == 120,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,6,20,lsam,1,0.8665,NA,0.08234331620624945,NA,0.5499999999999999,NA,1,NA,-0.7478903972268838,NA,-0.11531086153056727,NA,0.34629757203332173,NA,-0.35304596456962667,NA,-0.14860579423275388,NA,1,NA,0,120,italic(N) == 120,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,6,20,rel,1,0.8445,0.8495,0.08534886834611165,0.08671313632453795,0.5499999999999999,0.5,1,1,-0.7716677653995236,-0.7680179647384918,-0.1267527178923364,-0.1267527178923364,0.39461018291660704,0.39461018291660704,-0.33909918056177124,-0.33909918056177124,-0.16895064492896206,-0.1557293967132416,1,1,0,120,italic(N) == 120,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,6,20,tspa,1,0.829,0.8365,0.08023558973901727,0.08248872092274055,0.44999999999999996,0.44999999999999996,1,1,-0.7853471513484582,-0.7793193894968291,-0.12675290708837167,-0.12675290708837167,0.3946101235345939,0.3946101235345939,-0.3390998018445725,-0.3390998018445725,-0.21756857828820342,-0.19762081784249008,1,1,0,120,italic(N) == 120,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,25,5,gsam,1,0.9415,NA,0.09406016461659486,NA,0.6,NA,0.9975,NA,-0.10770733887067252,NA,-0.025726333502180614,NA,0.10848228299803758,NA,-0.2440503764301438,NA,-0.01702087287167997,NA,0.9975,NA,0,125,italic(N) == 125,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,25,5,joint,1,0.9205,NA,0.09199964215685613,NA,0.44999999999999996,NA,0.998,NA,-0.11821833898814638,NA,-0.0016441692466037422,NA,0.10432068286414983,NA,-0.015758738352296776,NA,-0.04350344199756051,NA,0.998,NA,0,125,italic(N) == 125,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,25,5,lsam,1,0.9415,NA,0.09406017010273547,NA,0.6,NA,0.9975,NA,-0.10770713870784887,NA,-0.02572630815394204,NA,0.10848225999163438,NA,-0.2440501764784387,NA,-0.017020975696015794,NA,0.9975,NA,0,125,italic(N) == 125,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,25,5,rel,1,0.9385,0.9525,0.09694401568894725,0.10070704989892611,0.5499999999999999,0.5499999999999999,0.998,0.998,-0.07082845960731798,-0.03476120709474173,-0.0016441690968794643,-0.0016441690968794643,0.10432069013443106,0.10432069013443106,-0.015758735818364972,-0.015758735818364972,0.008582833236385312,0.04888945959571456,0.998,0.998,0,125,italic(N) == 125,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,25,5,tspa,1,0.912,0.946,0.09057445081182834,0.09811006492680141,0.5,0.6,0.998,0.998,-0.13187829777726778,-0.05965229922967563,-0.0016441735240199653,-0.0016441735240199653,0.1043206878011053,0.1043206878011053,-0.015758778613929044,-0.015758778613929044,-0.057573797758892375,0.020666666932001698,0.998,0.998,0,125,italic(N) == 125,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,25,10,gsam,1,0.9485,NA,0.06340162459304412,NA,0.8500000000000001,NA,1,NA,-0.18658292712948088,NA,-0.011993630033289173,NA,0.07884288219903302,NA,-0.15387339831415478,NA,0.01762073938039732,NA,1,NA,0,250,italic(N) == 250,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,25,10,joint,1,0.9375,NA,0.06269303031924091,NA,0.8999999999999999,NA,1,NA,-0.20764698005993243,NA,-0.0018938931394428275,NA,0.0791254846563192,NA,-0.023936184625945392,NA,-0.010312449295835746,NA,1,NA,0,250,italic(N) == 250,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,25,10,lsam,1,0.9485,NA,0.06340162457164589,NA,0.8500000000000001,NA,1,NA,-0.18658291074858824,NA,-0.011993630570827276,NA,0.0788428807037848,NA,-0.15387340836124247,NA,0.017620730021769893,NA,1,NA,0,250,italic(N) == 250,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,25,10,rel,1,0.954,0.9625,0.06678816716648352,0.06849996468597148,0.8999999999999999,0.95,1,1,-0.23665582921584383,-0.21709112616288062,-0.003060605052221654,-0.003060605052221654,0.08752582504401504,0.08752582504401504,-0.03498067284676638,-0.03498067284676638,0.0522961976283709,0.07789824978383764,1,1,0,250,italic(N) == 250,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,25,10,tspa,1,0.9345,0.9495,0.06241596014810051,0.06567337350603338,0.8500000000000001,0.8999999999999999,1,1,-0.28662749293540013,-0.24939744587403156,-0.0030605582639908076,-0.0030605582639908076,0.08752585476311525,0.08752585476311525,-0.03498012554192544,-0.03498012554192544,-0.016880928024672004,0.03304148697515208,1,1,0,250,italic(N) == 250,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,25,20,gsam,1,0.952,NA,0.040286994484118085,NA,0.65,NA,1,NA,-0.4730356585970331,NA,-0.007055133150838776,NA,0.07675689270176796,NA,-0.09228297225814638,NA,-5.025834517713434e-4,NA,1,NA,0,500,italic(N) == 500,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,25,20,joint,1,0.946,NA,0.04000303450603676,NA,0.75,NA,1,NA,-0.4793901613897972,NA,-0.002750350017640407,NA,0.07686880567272841,NA,-0.03579376656011655,NA,-0.010052208252692929,NA,1,NA,1,500,italic(N) == 500,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,25,20,lsam,1,0.952,NA,0.040286994296296695,NA,0.65,NA,1,NA,-0.4730356439048585,NA,-0.007055127995906034,NA,0.07675688975116533,NA,-0.09228290783343876,NA,-5.031708951042102e-4,NA,1,NA,0,500,italic(N) == 500,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,25,20,rel,1,0.96,0.9615,0.04255804237921143,0.04324572320392868,0.8500000000000001,0.7000000000000001,1,1,-0.4118185106793725,-0.40231428752795684,-0.0021911015231282876,-0.0021911015231282876,0.07237037590733461,0.07237037590733461,-0.030282533807424954,-0.030282533807424954,0.052296099965428944,0.06942042514455826,1,1,0,500,italic(N) == 500,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,25,20,tspa,1,0.9465,0.9535,0.03994079067682188,0.041081754049840935,0.7000000000000001,0.6,1,1,-0.4479911172529769,-0.43222222770114793,-0.002190975948356805,-0.002190975948356805,0.07237042233237746,0.07237042233237746,-0.03028077724259725,-0.03028077724259725,-0.01141592615745457,0.015266079126627252,1,1,0,500,italic(N) == 500,\beta_{xm} == 0.6,rho == 0.7
0.7,0.6,100,5,gsam,1,0.954,NA,0.04710437280868051,NA,0.8999999999999999,NA,1,NA,0.030644626742600822,NA,-0.0068973122744931965,NA,0.046210015787570946,NA,-0.15091333162517329,NA,0.043103996345165596,NA,1,NA,0,500,italic(N) == 500,\beta_{xm} == 0.6,rho == 0.7
