rel,path,N_per_p,n_items,method,coverage,coverage_corrected,mean_se,mean_se_corrected,power,power_corrected,raw_rsb,raw_rsb_corrected,rb,rb_corrected,rmse,rmse_corrected,sb,sb_corrected,type1,type1_corrected,N,N_lab,path_lab,rel_lab
0.7,0.3,6,5,gsam,0.784,NA,0.24202979882497738,NA,0.546,NA,-0.11218728585161908,NA,0.20865494104563334,NA,0.34319196972265337,NA,0.7653871978968765,NA,0.546,NA,30,italic(N) == 30,\beta_{xm} == 0.3,rho == 0.7
0.7,0.3,6,5,joint,0.575,NA,0.15982753581401352,NA,0.756,NA,-0.42420551441951293,NA,0.20444353585033856,NA,0.34462925400602296,NA,0.7365280328928164,NA,0.756,NA,30,italic(N) == 30,\beta_{xm} == 0.3,rho == 0.7
0.7,0.3,6,5,lsam,0.784,NA,0.24202955305821866,NA,0.546,NA,-0.11218911655419317,NA,0.20865410414132232,NA,0.34319168731412786,NA,0.7653833269185153,NA,0.546,NA,30,italic(N) == 30,\beta_{xm} == 0.3,rho == 0.7
0.7,0.3,6,5,rel,0.836,0.847,0.22834077366318764,0.23402813606463863,0.31999999999999995,0.31000000000000005,-0.23140179661389904,-0.21225805608243908,-0.04184852744334287,-0.04184852744334287,0.2998731546418782,0.2998731546418782,-0.1408627223745488,-0.1408627223745488,0.32,0.31,30,italic(N) == 30,\beta_{xm} == 0.3,rho == 0.7
0.7,0.3,6,5,tspa,0.825,0.849,0.22625564009646745,0.25283556811345254,0.33699999999999997,0.30900000000000005,-0.2424800358842849,-0.1534885477205422,-0.040589826561461304,-0.040589826561461304,0.3012768388279475,0.3012768388279475,-0.13589762424128554,-0.13589762424128554,0.337,0.309,30,italic(N) == 30,\beta_{xm} == 0.3,rho == 0.7
0.7,0.3,6,10,gsam,0.862,NA,0.20462736050343638,NA,0.54,NA,-0.099069982949192,NA,0.12462920805271212,NA,0.2589757671817172,NA,0.5487154516371383,NA,0.54,NA,60,italic(N) == 60,\beta_{xm} == 0.3,rho == 0.7
0.7,0.3,6,10,joint,0.588,NA,0.12002855290759255,NA,0.804,NA,-0.4694814437921945,NA,0.1270134106105132,NA,0.2593630609755381,NA,0.5613911822130802,NA,0.804,NA,60,italic(N) == 60,\beta_{xm} == 0.3,rho == 0.7
0.7,0.3,6,10,lsam,0.862,NA,0.20462735948975197,NA,0.54,NA,-0.09906997893888358,NA,0.12462920483454412,NA,0.25897576376139986,NA,0.548715442628967,NA,0.54,NA,60,italic(N) == 60,\beta_{xm} == 0.3,rho == 0.7
0.7,0.3,6,10,rel,0.843,0.844,0.15721710900085337,0.158223880735973,0.45199999999999996,0.44599999999999995,-0.3270299268874084,-0.32272042614352014,-0.05941329216211734,-0.05941329216211734,0.24094017426323694,0.24094017426323694,-0.25431944286663377,-0.25431944286663377,0.452,0.446,60,italic(N) == 60,\beta_{xm} == 0.3,rho == 0.7
0.7,0.3,6,10,tspa,0.833,0.842,0.15452106719114547,0.1565770244167417,0.46099999999999997,0.45599999999999996,-0.338566177937738,-0.32976556795980894,-0.05941870106647167,-0.05941870106647167,0.24094007315629554,0.24094007315629554,-0.25434420861043255,-0.25434420861043255,0.461,0.456,60,italic(N) == 60,\beta_{xm} == 0.3,rho == 0.7
0.7,0.3,6,20,gsam,0.883,NA,0.1439809971990628,NA,0.484,NA,-0.12414348249688556,NA,-0.032092345050813736,NA,0.16741138175666573,NA,-0.19522221766426978,NA,0.484,NA,120,italic(N) == 120,\beta_{xm} == 0.3,rho == 0.7
0.7,0.3,6,20,joint,0.778,NA,0.0930011915226052,NA,0.732,NA,-0.43297521660372074,NA,-0.029327633652063506,NA,0.166536748758488,NA,-0.17880948455423532,NA,0.732,NA,120,italic(N) == 120,\beta_{xm} == 0.3,rho == 0.7
0.7,0.3,6,20,lsam,0.883,NA,0.1439809980823484,NA,0.484,NA,-0.1241434670250201,NA,-0.032092344856047346,NA,0.16741137985999255,NA,-0.19522221873041062,NA,0.484,NA,120,italic(N) == 120,\beta_{xm} == 0.3,rho == 0.7
0.7,0.3,6,20,rel,0.854,0.856,0.10629348867291838,0.10661163634512966,0.771,0.771,-0.47529877123889175,-0.4737282848749488,-0.05211447012594939,-0.05211447012594939,0.20907692519215867,0.20907692519215867,-0.2572549537391051,-0.2572549537391051,0.771,0.771,120,italic(N) == 120,\beta_{xm} == 0.3,rho == 0.7
0.7,0.3,6,20,tspa,0.848,0.85,0.10471701707556515,0.10523154941339116,0.776,0.775,-0.48308059706431816,-0.48054068754160706,-0.052114533567800936,-0.052114533567800936,0.20907687259581606,0.20907687259581606,-0.2572553566599369,-0.2572553566599369,0.776,0.775,120,italic(N) == 120,\beta_{xm} == 0.3,rho == 0.7
